Combinaison,nom_animal_a,nom_animal_b,nom_animal_c,embedding_GloVe
"(0, 1, 2)",aardvark,antelope,bass,"['Bass', 'guitar', 'horn', 'drums', 'elk', 'drum', 'guitars', 'trout']"
"(0, 1, 3)",aardvark,antelope,bear,"['deer', 'elk', 'bears', 'moose', 'hunt', 'hunting', 'grizzly', 'wolves']"
"(0, 1, 4)",aardvark,antelope,boar,"['deer', 'elk', 'bison', 'boars', 'pheasant', 'buffalo', 'moose', 'whitetail']"
"(0, 1, 5)",aardvark,antelope,buffalo,"['elk', 'bison', 'deer', 'moose', 'herds', 'pronghorn', 'mule', 'lions']"
"(0, 1, 6)",aardvark,antelope,calf,"['calves', 'elk', 'deer', 'buffalo', 'mule', 'Calf', 'sheep', 'cattle']"
"(0, 1, 7)",aardvark,antelope,carp,"['trout', 'deer', 'elk', 'catfish', 'fish', 'pike', 'largemouth', 'walleye']"
"(0, 1, 8)",aardvark,antelope,catfish,"['trout', 'fish', 'largemouth', 'elk', 'deer', 'crappie', 'carp', 'walleye']"
"(0, 1, 9)",aardvark,antelope,cavy,"['pronghorn', 'cavies', 'mule', 'elk', 'pheasant', 'antelopes', 'bighorn', 'fowl']"
"(0, 1, 10)",aardvark,antelope,cheetah,"['deer', 'cheetahs', 'leopard', 'leopards', 'zebra', 'antelopes', 'elk', 'pronghorn']"
"(0, 1, 11)",aardvark,antelope,chicken,"['turkey', 'beef', 'meat', 'pork', 'buffalo', 'deer', 'duck', 'venison', 'steak']"
"(0, 1, 12)",aardvark,antelope,chub,"['elk', 'trout', 'deer', 'pronghorn', 'bighorn', 'steelhead', 'chubs', 'carp']"
"(0, 1, 13)",aardvark,antelope,clam,"['elk', 'clams', 'deer', 'buffalo', 'crab', 'lobster', 'oyster', 'moose']"
"(0, 1, 14)",aardvark,antelope,crab,"['salmon', 'fish', 'lobster', 'deer', 'shrimp', 'crabs', 'elk', 'trout']"
"(0, 1, 15)",aardvark,antelope,crayfish,"['trout', 'elk', 'deer', 'catfish', 'pheasant', 'fish', 'pronghorn', 'quail']"
"(0, 1, 16)",aardvark,antelope,crow,"['deer', 'elk', 'pheasant', 'crows', 'coyote', 'bird', 'moose', 'buck']"
