Combinaison,nom_animal_a,nom_animal_b,nom_animal_c,embedding_GloVe
"(0, 1, 2)",aardvark,antelope,bass,"['kudu', 'elk', 'antelopes', 'hyena', 'deer', 'giraffe', 'hippo']"
"(0, 1, 3)",aardvark,antelope,bear,"['giraffe', 'deer', 'hyena', 'porcupine', 'elephant', 'lion', 'antelopes', 'moose']"
"(0, 1, 4)",aardvark,antelope,boar,"['antelopes', 'kudu', 'deer', 'hyena', 'oryx', 'elk', 'bison']"
"(0, 1, 5)",aardvark,antelope,buffalo,"['bison', 'antelopes', 'kudu', 'elk', 'oryx', 'wildebeest', 'springbok']"
"(0, 1, 6)",aardvark,antelope,calf,"['oryx', 'giraffe', 'kudu', 'antelopes', 'gazelle', 'eland', 'springbok']"
"(0, 1, 7)",aardvark,antelope,carp,"['antelopes', 'deer', 'kudu', 'elk', 'eland', 'hyena', 'oryx']"
"(0, 1, 8)",aardvark,antelope,catfish,"['antelopes', 'kudu', 'oryx', 'hyena', 'eland', 'elk', 'crayfish']"
"(0, 1, 9)",aardvark,antelope,cavy,"['antelopes', 'hyena', 'tapir', 'capybara', 'ibex', 'oryx', 'porcupine']"
"(0, 1, 10)",aardvark,antelope,cheetah,"['giraffe', 'hyena', 'antelopes', 'oryx', 'kudu', 'leopards', 'cheetahs']"
"(0, 1, 11)",aardvark,antelope,chicken,"['buffalo', 'bison', 'boar', 'quail', 'goat', 'deer', 'giraffe']"
"(0, 1, 12)",aardvark,antelope,chub,"['antelopes', 'oryx', 'kudu', 'eland', 'bighorn', 'hyena', 'tapir']"
"(0, 1, 13)",aardvark,antelope,clam,"['porcupine', 'hyena', 'kudu', 'boar', 'oryx', 'rhinoceros', 'buffalo', 'antelopes']"
"(0, 1, 14)",aardvark,antelope,crab,"['crayfish', 'porcupine', 'eel', 'crabs', 'boar', 'giraffe', 'hyena']"
"(0, 1, 15)",aardvark,antelope,crayfish,"['antelopes', 'kudu', 'porcupine', 'oryx', 'hyena', 'opossum', 'armadillo']"
"(0, 1, 16)",aardvark,antelope,crow,"['hyena', 'porcupine', 'jackal', 'antelopes', 'giraffe', 'coyote', 'kudu']"
"(0, 1, 17)",aardvark,antelope,deer,"['elk', 'antelopes', 'moose', 'white-tailed', 'pronghorn', 'whitetail', 'bighorn', 'kudu']"
"(0, 1, 18)",aardvark,antelope,dogfish,"['antelopes', 'oryx', 'kudu', 'hyena', 'eland', 'porcupine', 'ibex']"
"(0, 1, 19)",aardvark,antelope,dolphin,"['giraffe', 'hippo', 'oryx', 'hippopotamus', 'hyena', 'elephant', 'kudu']"
"(0, 1, 20)",aardvark,antelope,dove,"['hyena', 'kudu', 'giraffe', 'deer', 'antelopes', 'jackal', 'oryx']"
"(0, 1, 21)",aardvark,antelope,duck,"['deer', 'giraffe', 'quail', 'boar', 'elk', 'kudu', 'hyena']"
"(0, 1, 22)",aardvark,antelope,elephant,"['giraffe', 'rhinoceros', 'elephants', 'hippo', 'antelopes', 'hyena', 'hippopotamus']"
"(0, 1, 23)",aardvark,antelope,flamingo,"['oryx', 'giraffe', 'antelopes', 'springbok', 'hippo', 'eland', 'kudu']"
"(0, 1, 24)",aardvark,antelope,flea,"['deer', 'hyena', 'porcupine', 'armadillo', 'antelopes', 'coyote', 'kudu']"
"(0, 1, 25)",aardvark,antelope,frog,"['giraffe', 'hippo', 'hyena', 'elephant', 'porcupine', 'rhinoceros', 'armadillo']"
"(0, 1, 26)",aardvark,antelope,frog,"['giraffe', 'hippo', 'hyena', 'elephant', 'porcupine', 'rhinoceros', 'armadillo']"
"(0, 1, 27)",aardvark,antelope,fruitbat,"['antelopes', 'kudu', 'oryx', 'hyena', 'aardvarks', 'gemsbok', 'jackal']"
"(0, 1, 28)",aardvark,antelope,giraffe,"['giraffes', 'kudu', 'antelopes', 'wildebeest', 'oryx', 'hyena', 'hippo']"
"(0, 1, 29)",aardvark,antelope,girl,"['giraffe', 'cheetah', 'hyena', 'elephant', 'baboon', 'hippo', 'gazelle', 'antelopes']"
